D5192,version_18_4,version 19/32  
D5193,version_19_4,version 20/32  
D5194,version_20_4,version 21/32  
D5195,version_21_4,version 22/32  
D5196,version_22_4,version 23/32  
D5197,version_23_4,version 24/32  
D5198,version_24_4,version 25/32  
D5199,version_25_4,version 26/32  
D5200,version_26_4,version 27/32  
D5201,version_27_4,version 28/32  
D5202,version_28_4,version 29/32  
D5203,version_29_4,version 30/32  
D5204,version_30_4,version 31/32  
D5205,version_31_4,version 32/32  (highest word)  
D5206,version_0_5,version 1/32  (lowest word)  
D5207,version_1_5,version 2/32  
D5208,version_2_5,version 3/32  
D5209,version_3_5,version 4/32  
D5210,version_4_5,version 5/32  
D5211,version_5_5,version 6/32  
D5212,version_6_5,version 7/32  
D5213,version_7_5,version 8/32  
D5214,version_8_5,version 9/32  
D5215,version_9_5,version 10/32  
D5216,version_10_5,version 11/32  
D5217,version_11_5,version 12/32  
D5218,version_12_5,version 13/32  
D5219,version_13_5,version 14/32  
D5220,version_14_5,version 15/32  
D5221,version_15_5,version 16/32  
D5222,version_16_5,version 17/32  
D5223,version_17_5,version 18/32  
D5224,version_18_5,version 19/32  
D5225,version_19_5,version 20/32  
D5226,version_20_5,version 21/32  
D5227,version_21_5,version 22/32  
D5228,version_22_5,version 23/32  
D5229,version_23_5,version 24/32  
D5230,version_24_5,version 25/32  
D5231,version_25_5,version 26/32  
D5232,version_26_5,version 27/32  
D5233,version_27_5,version 28/32  
D5234,version_28_5,version 29/32  
D5235,version_29_5,version 30/32  
D5236,version_30_5,version 31/32  
D5237,version_31_5,version 32/32  (highest word)  
D5238,version_0_6,version 1/32  (lowest word)  
D5239,version_1_6,version 2/32  
D5240,version_2_6,version 3/32  
D5241,version_3_6,version 4/32  
D5242,version_4_6,version 5/32  
D5243,version_5_6,version 6/32  
D5244,version_6_6,version 7/32  
D5245,version_7_6,version 8/32  
D5246,version_8_6,version 9/32  
D5247,version_9_6,version 10/32  
D5248,version_10_6,version 11/32  
D5249,version_11_6,version 12/32  
D5250,version_12_6,version 13/32  
D5251,version_13_6,version 14/32  
D5252,version_14_6,version 15/32  
D5253,version_15_6,version 16/32  
D5254,version_16_6,version 17/32  
D5255,version_17_6,version 18/32  
D5256,version_18_6,version 19/32  
D5257,version_19_6,version 20/32  
D5258,version_20_6,version 21/32  
D5259,version_21_6,version 22/32  
D5260,version_22_6,version 23/32  
D5261,version_23_6,version 24/32  
D5262,version_24_6,version 25/32  
D5263,version_25_6,version 26/32  
D5264,version_26_6,version 27/32  
D5265,version_27_6,version 28/32  
D5266,version_28_6,version 29/32  
D5267,version_29_6,version 30/32  
D5268,version_30_6,version 31/32  
D5269,version_31_6,version 32/32  (highest word)  
D5270,firmware_vers_0_1,firmware_version 1/32  (lowest word)  
D5271,firmware_vers_1_1,firmware_version 2/32  
D5272,firmware_vers_2_1,firmware_version 3/32  
D5273,firmware_vers_3_1,firmware_version 4/32  
D5274,firmware_vers_4_1,firmware_version 5/32  
D5275,firmware_vers_5_1,firmware_version 6/32  
D5276,firmware_vers_6_1,firmware_version 7/32  
D5277,firmware_vers_7_1,firmware_version 8/32  
D5278,firmware_vers_8_1,firmware_version 9/32  
D5279,firmware_vers_9_1,firmware_version 10/32  
D5280,firmware_vers_10_1,firmware_version 11/32  
D5281,firmware_vers_11_1,firmware_version 12/32  
D5282,firmware_vers_12_1,firmware_version 13/32  
D5283,firmware_vers_13_1,firmware_version 14/32  
D5284,firmware_vers_14_1,firmware_version 15/32  
D5285,firmware_vers_15_1,firmware_version 16/32  
D5286,firmware_vers_16_1,firmware_version 17/32  
D5287,firmware_vers_17_1,firmware_version 18/32  
D5288,firmware_vers_18_1,firmware_version 19/32  
D5289,firmware_vers_19_1,firmware_version 20/32  
D5290,firmware_vers_20_1,firmware_version 21/32  
D5291,firmware_vers_21_1,firmware_version 22/32  
D5292,firmware_vers_22_1,firmware_version 23/32  
D5293,firmware_vers_23_1,firmware_version 24/32  
D5294,firmware_vers_24_1,firmware_version 25/32  
D5295,firmware_vers_25_1,firmware_version 26/32  
D5296,firmware_vers_26_1,firmware_version 27/32  
D5297,firmware_vers_27_1,firmware_version 28/32  
D5298,firmware_vers_28_1,firmware_version 29/32  
D5299,firmware_vers_29_1,firmware_version 30/32  
D5300,firmware_vers_30_1,firmware_version 31/32  
D5301,firmware_vers_31_1,firmware_version 32/32  (highest word)  
D5302,firmware_vers_0_2,firmware_version 1/32  (lowest word)  
D5303,firmware_vers_1_2,firmware_version 2/32  
D5304,firmware_vers_2_2,firmware_version 3/32  
D5305,firmware_vers_3_2,firmware_version 4/32  
D5306,firmware_vers_4_2,firmware_version 5/32  
D5307,firmware_vers_5_2,firmware_version 6/32  
D5308,firmware_vers_6_2,firmware_version 7/32  
D5309,firmware_vers_7_2,firmware_version 8/32  
D5310,firmware_vers_8_2,firmware_version 9/32  
D5311,firmware_vers_9_2,firmware_version 10/32  
D5312,firmware_vers_10_2,firmware_version 11/32  
D5313,firmware_vers_11_2,firmware_version 12/32  
D5314,firmware_vers_12_2,firmware_version 13/32  
D5315,firmware_vers_13_2,firmware_version 14/32  
D5316,firmware_vers_14_2,firmware_version 15/32  
D5317,firmware_vers_15_2,firmware_version 16/32  
D5318,firmware_vers_16_2,firmware_version 17/32  
D5319,firmware_vers_17_2,firmware_version 18/32  
D5320,firmware_vers_18_2,firmware_version 19/32  
D5321,firmware_vers_19_2,firmware_version 20/32  
D5322,firmware_vers_20_2,firmware_version 21/32  
D5323,firmware_vers_21_2,firmware_version 22/32  
D5324,firmware_vers_22_2,firmware_version 23/32  
D5325,firmware_vers_23_2,firmware_version 24/32  
D5326,firmware_vers_24_2,firmware_version 25/32  
D5327,firmware_vers_25_2,firmware_version 26/32  
D5328,firmware_vers_26_2,firmware_version 27/32  
D5329,firmware_vers_27_2,firmware_version 28/32  
D5330,firmware_vers_28_2,firmware_version 29/32  
D5331,firmware_vers_29_2,firmware_version 30/32  
D5332,firmware_vers_30_2,firmware_version 31/32  
D5333,firmware_vers_31_2,firmware_version 32/32  (highest word)  
D5334,firmware_vers_0_3,firmware_version 1/32  (lowest word)  
D5335,firmware_vers_1_3,firmware_version 2/32  
D5336,firmware_vers_2_3,firmware_version 3/32  
D5337,firmware_vers_3_3,firmware_version 4/32  
D5338,firmware_vers_4_3,firmware_version 5/32  
D5339,firmware_vers_5_3,firmware_version 6/32  
D5340,firmware_vers_6_3,firmware_version 7/32  
D5341,firmware_vers_7_3,firmware_version 8/32  
D5342,firmware_vers_8_3,firmware_version 9/32  
D5343,firmware_vers_9_3,firmware_version 10/32  
D5344,firmware_vers_10_3,firmware_version 11/32  
D5345,firmware_vers_11_3,firmware_version 12/32  
D5346,firmware_vers_12_3,firmware_version 13/32  
D5347,firmware_vers_13_3,firmware_version 14/32  
D5348,firmware_vers_14_3,firmware_version 15/32  
D5349,firmware_vers_15_3,firmware_version 16/32  
D5350,firmware_vers_16_3,firmware_version 17/32  
D5351,firmware_vers_17_3,firmware_version 18/32  
D5352,firmware_vers_18_3,firmware_version 19/32  
D5353,firmware_vers_19_3,firmware_version 20/32  
D5354,firmware_vers_20_3,firmware_version 21/32  
D5355,firmware_vers_21_3,firmware_version 22/32  
D5356,firmware_vers_22_3,firmware_version 23/32  
D5357,firmware_vers_23_3,firmware_version 24/32  
D5358,firmware_vers_24_3,firmware_version 25/32  
D5359,firmware_vers_25_3,firmware_version 26/32  
D5360,firmware_vers_26_3,firmware_version 27/32  
D5361,firmware_vers_27_3,firmware_version 28/32  
D5362,firmware_vers_28_3,firmware_version 29/32  
D5363,firmware_vers_29_3,firmware_version 30/32  
D5364,firmware_vers_30_3,firmware_version 31/32  
D5365,firmware_vers_31_3,firmware_version 32/32  (highest word)  
D5366,firmware_vers_0_4,firmware_version 1/32  (lowest word)  
D5367,firmware_vers_1_4,firmware_version 2/32  
D5368,firmware_vers_2_4,firmware_version 3/32  
D5369,firmware_vers_3_4,firmware_version 4/32  
D5370,firmware_vers_4_4,firmware_version 5/32  
D5371,firmware_vers_5_4,firmware_version 6/32  
D5372,firmware_vers_6_4,firmware_version 7/32  
D5373,firmware_vers_7_4,firmware_version 8/32  
D5374,firmware_vers_8_4,firmware_version 9/32  
D5375,firmware_vers_9_4,firmware_version 10/32  
D5376,firmware_vers_10_4,firmware_version 11/32  
D5377,firmware_vers_11_4,firmware_version 12/32  
D5378,firmware_vers_12_4,firmware_version 13/32  
D5379,firmware_vers_13_4,firmware_version 14/32  
D5380,firmware_vers_14_4,firmware_version 15/32  
D5381,firmware_vers_15_4,firmware_version 16/32  
D5382,firmware_vers_16_4,firmware_version 17/32  
D5383,firmware_vers_17_4,firmware_version 18/32  
D5384,firmware_vers_18_4,firmware_version 19/32  
D5385,firmware_vers_19_4,firmware_version 20/32  
D5386,firmware_vers_20_4,firmware_version 21/32  
D5387,firmware_vers_21_4,firmware_version 22/32  
D5388,firmware_vers_22_4,firmware_version 23/32  
D5389,firmware_vers_23_4,firmware_version 24/32  
D5390,firmware_vers_24_4,firmware_version 25/32  
D5391,firmware_vers_25_4,firmware_version 26/32  
D5392,firmware_vers_26_4,firmware_version 27/32  
D5393,firmware_vers_27_4,firmware_version 28/32  
D5394,firmware_vers_28_4,firmware_version 29/32  
D5395,firmware_vers_29_4,firmware_version 30/32  
D5396,firmware_vers_30_4,firmware_version 31/32  
D5397,firmware_vers_31_4,firmware_version 32/32  (highest word)  
D5398,firmware_vers_0_5,firmware_version 1/32  (lowest word)  
D5399,firmware_vers_1_5,firmware_version 2/32  
D5400,firmware_vers_2_5,firmware_version 3/32  
D5401,firmware_vers_3_5,firmware_version 4/32  
D5402,firmware_vers_4_5,firmware_version 5/32  
D5403,firmware_vers_5_5,firmware_version 6/32  
D5404,firmware_vers_6_5,firmware_version 7/32  
D5405,firmware_vers_7_5,firmware_version 8/32  
D5406,firmware_vers_8_5,firmware_version 9/32  
D5407,firmware_vers_9_5,firmware_version 10/32  
D5408,firmware_vers_10_5,firmware_version 11/32  
D5409,firmware_vers_11_5,firmware_version 12/32  
D5410,firmware_vers_12_5,firmware_version 13/32  
D5411,firmware_vers_13_5,firmware_version 14/32  
D5412,firmware_vers_14_5,firmware_version 15/32  
D5413,firmware_vers_15_5,firmware_version 16/32  
D5414,firmware_vers_16_5,firmware_version 17/32  
D5415,firmware_vers_17_5,firmware_version 18/32  
D5416,firmware_vers_18_5,firmware_version 19/32  
D5417,firmware_vers_19_5,firmware_version 20/32  
D5418,firmware_vers_20_5,firmware_version 21/32  
D5419,firmware_vers_21_5,firmware_version 22/32  
D5420,firmware_vers_22_5,firmware_version 23/32  
D5421,firmware_vers_23_5,firmware_version 24/32  
D5422,firmware_vers_24_5,firmware_version 25/32  
D5423,firmware_vers_25_5,firmware_version 26/32  
